state,district,market,crop,variety,date,min_price,max_price,price_per_kg
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,2025-08-19,900,1850.0,1250
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,2025-08-19,2600,4400.0,3500
Andhra Pradesh,Chittor,Palamaner,Cluster beans,Cluster Beans,2025-08-19,3000,5000.0,4000
Andhra Pradesh,Chittor,Tirupati,Banana,Bhushavali(Pacha),2025-08-19,7500,10000.0,8500
Andhra Pradesh,Cuddapah,Cuddapah,Groundnut,Local,2025-08-19,1997,3997.0,3997
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Bulb,2025-08-19,7045,10085.0,7045
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,2025-08-19,2700,3400.0,3200
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(White),2025-08-19,1800,2800.0,2500
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Desi(Bontha),2025-08-19,1900,2500.0,2200
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Karpura,2025-08-19,2700,3900.0,3600
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,2025-08-19,9000,13300.0,11900
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,2025-08-19,10000,14500.0,13000
Andhra Pradesh,Guntur,Tenali,Lemon,Lemon,2025-08-19,3600,4800.0,4300
Andhra Pradesh,Krishna,Tiruvuru,Rice,Fine,2025-08-19,4300,4500.0,4400
Andhra Pradesh,Kurnool,Adoni,Cotton,Bunny,2025-08-19,5757,8233.0,7959
Andhra Pradesh,Kurnool,Adoni,Groundnut,Balli/Habbu,2025-08-19,3700,7200.0,6769
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,2025-08-19,1069,11112.0,6810
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,2025-08-19,589,1529.0,1389
Andhra Pradesh,West Godavari,Chintalapudi,Lemon,Lemon,2025-08-19,2400,3000.0,2700
Bihar,Rohtas,Natwar,Potato,Jyoti,2025-08-19,1200,1400.0,1300
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Other,2025-08-19,2000,3200.0,3000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,2025-08-19,800,1500.0,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,Other,2025-08-19,1500,2600.0,2200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,Other,2025-08-19,4000,14000.0,9000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,2025-08-19,300,1600.0,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,2025-08-19,2400,6800.0,6000
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,2025-08-19,500,2000.0,1500
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,2025-08-19,2000,2500.0,2400
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,2025-08-19,1500,3250.0,2350
Gujarat,Ahmedabad,Ahmedabad,Peas Wet,Other,2025-08-19,8000,10000.0,9250
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,2025-08-19,500,800.0,700
Gujarat,Ahmedabad,Mandal,Ajwan,Ajwan,2025-08-19,6505,11605.0,9500
Gujarat,Ahmedabad,Viramgam,Castor Seed,Castor seed,2025-08-19,6460,6475.0,6470
Gujarat,Ahmedabad,Viramgam,Paddy(Dhan)(Common),Other,2025-08-19,1035,1955.0,1495
Gujarat,Ahmedabad,Viramgam,"Sesamum(Sesame,Gingelly,Til)",Other,2025-08-19,8590,8915.0,8750
Gujarat,Ahmedabad,Viramgam,Wheat,Other,2025-08-19,2500,2705.0,2605
Gujarat,Amreli,Bagasara,Bengal Gram(Gram)(Whole),Average (Whole),2025-08-19,5350,5730.0,5540
Gujarat,Amreli,Damnagar,Brinjal,Other,2025-08-19,1100,1400.0,1300
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,2025-08-19,4500,6000.0,5500
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,2025-08-19,2200,3000.0,2800
Gujarat,Amreli,Savarkundla,Arhar (Tur/Red Gram)(Whole),Small (Whole),2025-08-19,5000,5750.0,5500
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,2025-08-19,7500,9915.0,8750
Gujarat,Amreli,Savarkundla,Wheat,Bansi,2025-08-19,2400,2925.0,2625
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,2025-08-19,2250,2825.0,2500
